contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
BLSH251219C00045000,BLSH,2025-12-19,45.00,call,0.00,28.60,27.00,5,30.20,8,0,0,2025-08-15,0.91729,0.86537,0.00578,-0.03599,0.08854,0.10931
BLSH251219P00045000,BLSH,2025-12-19,45.00,put,3.50,3.30,3.00,20,3.60,1,306,0,2025-08-15,0.91729,-0.13463,0.00578,-0.03073,0.08854,-0.04373
BLSH251219C00050000,BLSH,2025-12-19,50.00,call,25.25,25.35,23.80,17,26.90,15,9,0,2025-08-15,0.93681,0.81639,0.00694,-0.04408,0.10855,0.10837
BLSH251219P00050000,BLSH,2025-12-19,50.00,put,5.00,5.15,4.70,16,5.60,15,80,0,2025-08-15,0.93681,-0.18361,0.00694,-0.03823,0.10855,-0.06167
BLSH251219C00055000,BLSH,2025-12-19,55.00,call,0.00,22.15,20.90,20,23.40,14,0,0,2025-08-15,0.91729,0.76805,0.00814,-0.04908,0.12465,0.10787
BLSH251219P00055000,BLSH,2025-12-19,55.00,put,7.46,7.50,7.00,22,8.00,18,20,0,2025-08-15,0.97583,-0.23519,0.00771,-0.04581,0.12561,-0.08248
BLSH251219C00060000,BLSH,2025-12-19,60.00,call,0.00,19.80,19.00,11,20.60,11,0,0,2025-08-15,0.93681,0.71581,0.00886,-0.05506,0.13852,0.10366
BLSH251219P00060000,BLSH,2025-12-19,60.00,put,9.55,9.65,9.30,13,10.00,7,328,0,2025-08-15,0.95632,-0.28429,0.00868,-0.04909,0.13855,-0.10135
BLSH251219C00065000,BLSH,2025-12-19,65.00,call,18.26,17.75,17.00,1,18.50,9,2,0,2025-08-15,0.95632,0.66557,0.00932,-0.05984,0.14875,0.09873
BLSH251219P00065000,BLSH,2025-12-19,65.00,put,12.48,12.55,11.20,16,13.90,17,2,0,2025-08-15,0.97583,-0.33342,0.00912,-0.05330,0.14857,-0.12308
BLSH251219C00070000,BLSH,2025-12-19,70.00,call,15.75,15.75,15.10,14,16.40,17,41,0,2025-08-15,0.95632,0.61631,0.00977,-0.06244,0.15602,0.09406
BLSH251219P00070000,BLSH,2025-12-19,70.00,put,15.34,15.65,15.40,2,15.90,6,56,0,2025-08-15,0.99534,-0.37954,0.00936,-0.05644,0.15551,-0.14511
BLSH251219C00075000,BLSH,2025-12-19,75.00,call,13.91,14.10,13.60,11,14.60,7,48,0,2025-08-15,0.97583,0.57178,0.00984,-0.06514,0.16035,0.08860
BLSH251219P00075000,BLSH,2025-12-19,75.00,put,19.09,18.95,18.00,17,19.90,16,3,0,2025-08-15,1.01485,-0.42213,0.00944,-0.05864,0.15988,-0.16716
BLSH251219C00080000,BLSH,2025-12-19,80.00,call,12.62,11.90,10.50,25,13.30,12,3,0,2025-08-15,0.93681,0.51906,0.01041,-0.06340,0.16281,0.08369
BLSH251219P00080000,BLSH,2025-12-19,80.00,put,21.60,21.55,20.20,20,22.90,1,4,0,2025-08-15,0.95632,-0.47681,0.01019,-0.05527,0.16272,-0.18848
BLSH251219C00085000,BLSH,2025-12-19,85.00,call,10.94,10.75,9.50,16,12.00,14,16,0,2025-08-15,0.95632,0.48016,0.01020,-0.06447,0.16280,0.07816
BLSH251219P00085000,BLSH,2025-12-19,85.00,put,23.90,25.70,23.90,12,27.50,19,1,0,2025-08-15,0.99534,-0.51010,0.00981,-0.05712,0.16295,-0.21076
BLSH251219C00090000,BLSH,2025-12-19,90.00,call,10.20,11.05,10.00,1,12.10,23,20,0,2025-08-15,1.05388,0.46701,0.00923,-0.07047,0.16244,0.07387
BLSH251219P00090000,BLSH,2025-12-19,90.00,put,29.30,29.90,28.60,16,31.20,14,1,0,2025-08-15,1.03437,-0.53821,0.00940,-0.05861,0.16225,-0.23236
BLSH251219C00095000,BLSH,2025-12-19,95.00,call,9.52,9.00,8.10,21,9.90,18,2,0,2025-08-15,0.99534,0.41469,0.00958,-0.06525,0.15926,0.06842
BLSH251219P00095000,BLSH,2025-12-19,95.00,put,0.00,34.05,32.80,12,35.30,12,0,0,2025-08-15,1.05388,-0.56753,0.00913,-0.05847,0.16066,-0.25363
BLSH251219C00100000,BLSH,2025-12-19,100.00,call,8.33,8.50,8.00,17,9.00,18,117,0,2025-08-15,1.03437,0.39386,0.00910,-0.06675,0.15719,0.06470
BLSH251219P00100000,BLSH,2025-12-19,100.00,put,0.00,37.90,36.30,11,39.50,10,0,0,2025-08-15,1.05388,-0.59984,0.00897,-0.05657,0.15787,-0.27493
BLSH251219C00105000,BLSH,2025-12-19,105.00,call,7.60,7.80,6.20,34,9.40,43,1,0,2025-08-15,1.03437,0.36333,0.00888,-0.06502,0.15334,0.06042
BLSH251219P00105000,BLSH,2025-12-19,105.00,put,0.00,42.05,40.40,15,43.70,11,0,0,2025-08-15,1.05388,-0.62995,0.00877,-0.05434,0.15427,-0.29609
BLSH251219C00110000,BLSH,2025-12-19,110.00,call,0.00,7.45,6.10,14,8.80,14,0,0,2025-08-15,1.07339,0.34897,0.00844,-0.06637,0.15117,0.05767
BLSH251219P00110000,BLSH,2025-12-19,110.00,put,0.00,46.50,44.60,6,48.40,6,0,0,2025-08-15,1.07339,-0.65103,0.00844,-0.05352,0.15117,-0.31642
BLSH251219C00115000,BLSH,2025-12-19,115.00,call,0.00,6.70,5.10,15,8.30,16,0,0,2025-08-15,1.07339,0.32326,0.00819,-0.06435,0.14673,0.05398
BLSH251219P00115000,BLSH,2025-12-19,115.00,put,0.00,50.65,48.90,5,52.40,6,0,0,2025-08-15,1.07339,-0.67674,0.00819,-0.05091,0.14673,-0.33712
BLSH251219C00120000,BLSH,2025-12-19,120.00,call,5.60,6.20,5.70,1,6.70,9,5,0,2025-08-15,1.07339,0.29942,0.00792,-0.06219,0.14193,0.05048
BLSH251219P00120000,BLSH,2025-12-19,120.00,put,0.00,55.20,53.40,7,57.00,6,0,0,2025-08-15,1.09290,-0.69333,0.00786,-0.04995,0.14346,-0.35684
BLSH251219C00125000,BLSH,2025-12-19,125.00,call,5.50,6.40,5.10,10,7.70,13,5,0,2025-08-15,1.13192,0.29918,0.00751,-0.06544,0.14188,0.04960
BLSH251219P00125000,BLSH,2025-12-19,125.00,put,0.00,59.85,58.20,6,61.50,6,0,0,2025-08-15,1.11241,-0.70800,0.00756,-0.04901,0.14031,-0.37628
BLSH251219C00130000,BLSH,2025-12-19,130.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.35146,0.00216,0.00047,-0.00040,0.00278,0.00049
BLSH251219P00130000,BLSH,2025-12-19,130.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01519,0.00000,-0.44211
BLSH251219C00135000,BLSH,2025-12-19,135.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.37097,0.00208,0.00043,-0.00041,0.00268,0.00047
BLSH251219P00135000,BLSH,2025-12-19,135.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01578,0.00000,-0.45911
BLSH251219C00140000,BLSH,2025-12-19,140.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.39048,0.00205,0.00041,-0.00043,0.00265,0.00046
BLSH251219P00140000,BLSH,2025-12-19,140.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01636,0.00000,-0.47612
BLSH260320C00040000,BLSH,2026-03-20,40.00,call,33.93,33.75,32.00,6,35.50,8,16,0,2025-08-15,0.81974,0.89097,0.00425,-0.02228,0.10018,0.16818
BLSH260320P00040000,BLSH,2026-03-20,40.00,put,3.77,3.75,3.60,5,3.90,1,35,0,2025-08-15,0.87827,-0.11639,0.00416,-0.01984,0.10496,-0.07020
BLSH260320C00045000,BLSH,2026-03-20,45.00,call,30.57,30.15,28.10,8,32.20,10,1,0,2025-08-15,0.80022,0.85443,0.00533,-0.02608,0.12253,0.17457
BLSH260320P00045000,BLSH,2026-03-20,45.00,put,5.62,5.00,4.00,6,6.00,1,18,0,2025-08-15,0.85876,-0.15215,0.00511,-0.02311,0.12621,-0.09322
BLSH260320C00050000,BLSH,2026-03-20,50.00,call,27.74,28.05,26.90,1,29.20,25,16,0,2025-08-15,0.87827,0.80613,0.00583,-0.03313,0.14731,0.16629
BLSH260320P00050000,BLSH,2026-03-20,50.00,put,8.00,7.20,5.80,10,8.60,11,9,0,2025-08-15,0.87827,-0.19387,0.00583,-0.02735,0.14731,-0.12342
BLSH260320C00055000,BLSH,2026-03-20,55.00,call,25.03,24.75,22.80,9,26.70,8,2,0,2025-08-15,0.83925,0.76603,0.00681,-0.03516,0.16437,0.16934
BLSH260320P00055000,BLSH,2026-03-20,55.00,put,10.20,9.60,8.20,5,11.00,5,35,0,2025-08-15,0.87827,-0.23484,0.00652,-0.03027,0.16471,-0.15352
BLSH260320C00060000,BLSH,2026-03-20,60.00,call,22.95,23.60,22.50,2,24.70,10,7,0,2025-08-15,0.91729,0.72530,0.00678,-0.04096,0.17881,0.15879
BLSH260320P00060000,BLSH,2026-03-20,60.00,put,12.78,12.05,10.90,11,13.20,2,27,0,2025-08-15,0.87827,-0.27609,0.00710,-0.03258,0.17926,-0.18528
BLSH260320C00065000,BLSH,2026-03-20,65.00,call,21.08,20.95,19.10,6,22.80,7,4,0,2025-08-15,0.87827,0.68307,0.00756,-0.04181,0.19097,0.15833
BLSH260320P00065000,BLSH,2026-03-20,65.00,put,16.30,15.95,14.00,2,17.90,10,9,0,2025-08-15,0.93681,-0.31197,0.00704,-0.03650,0.18969,-0.22286
BLSH260320C00070000,BLSH,2026-03-20,70.00,call,19.30,19.80,18.50,11,21.10,8,70,0,2025-08-15,0.91729,0.64829,0.00754,-0.04506,0.19895,0.15088
BLSH260320P00070000,BLSH,2026-03-20,70.00,put,19.24,18.85,18.20,9,19.50,11,12,0,2025-08-15,0.93681,-0.34913,0.00737,-0.03772,0.19842,-0.25595
BLSH260320C00075000,BLSH,2026-03-20,75.00,call,18.00,17.50,17.00,1,18.00,31,22,0,2025-08-15,0.89778,0.60800,0.00798,-0.04555,0.20602,0.14685
BLSH260320P00075000,BLSH,2026-03-20,75.00,put,24.50,22.50,20.50,10,24.50,9,1,0,2025-08-15,0.95632,-0.38167,0.00744,-0.03925,0.20443,-0.29058
BLSH260320C00080000,BLSH,2026-03-20,80.00,call,16.30,16.50,15.00,4,18.00,2,28,0,2025-08-15,0.91729,0.57610,0.00796,-0.04719,0.21001,0.14052
BLSH260320P00080000,BLSH,2026-03-20,80.00,put,0.00,26.05,24.00,2,28.10,5,0,0,2025-08-15,0.97583,-0.41131,0.00744,-0.04042,0.20860,-0.32509
BLSH260320C00085000,BLSH,2026-03-20,85.00,call,15.00,14.85,13.50,12,16.20,12,4,0,2025-08-15,0.91729,0.54229,0.00807,-0.04765,0.21271,0.13489
BLSH260320P00085000,BLSH,2026-03-20,85.00,put,0.00,29.70,27.70,5,31.70,7,0,0,2025-08-15,0.97583,-0.44290,0.00755,-0.04044,0.21171,-0.35887
BLSH260320C00090000,BLSH,2026-03-20,90.00,call,12.80,13.60,13.20,1,14.00,5,13,0,2025-08-15,0.91729,0.51013,0.00811,-0.04777,0.21384,0.12914
BLSH260320P00090000,BLSH,2026-03-20,90.00,put,0.00,33.65,31.50,6,35.80,1,0,0,2025-08-15,0.99534,-0.46763,0.00745,-0.04105,0.21320,-0.39304
BLSH260320C00095000,BLSH,2026-03-20,95.00,call,10.50,12.40,10.60,9,14.20,8,4,0,2025-08-15,0.91729,0.47964,0.00810,-0.04761,0.21363,0.12337
BLSH260320P00095000,BLSH,2026-03-20,95.00,put,0.00,37.40,35.30,7,39.50,8,0,0,2025-08-15,0.99534,-0.49570,0.00747,-0.04054,0.21390,-0.42680
BLSH260320C00100000,BLSH,2026-03-20,100.00,call,12.00,12.55,11.20,1,13.90,6,131,0,2025-08-15,0.95632,0.46452,0.00775,-0.04931,0.21306,0.11836
BLSH260320P00100000,BLSH,2026-03-20,100.00,put,41.00,41.45,39.40,9,43.50,8,7,0,2025-08-15,1.01485,-0.51599,0.00733,-0.04079,0.21374,-0.46042
BLSH260320C00105000,BLSH,2026-03-20,105.00,call,11.80,10.85,8.90,9,12.80,9,1,0,2025-08-15,0.93681,0.43107,0.00782,-0.04773,0.21071,0.11263
BLSH260320P00105000,BLSH,2026-03-20,105.00,put,44.00,45.55,43.50,6,47.60,5,1,0,2025-08-15,1.01485,-0.54080,0.00729,-0.03990,0.21279,-0.49395
BLSH260320C00110000,BLSH,2026-03-20,110.00,call,9.78,10.20,8.10,6,12.30,8,4,0,2025-08-15,0.93681,0.40592,0.00772,-0.04703,0.20793,0.10735
BLSH260320P00110000,BLSH,2026-03-20,110.00,put,49.98,49.65,47.60,8,51.70,8,2,0,2025-08-15,1.01485,-0.56430,0.00724,-0.03884,0.21112,-0.52742
BLSH260320C00115000,BLSH,2026-03-20,115.00,call,9.08,9.40,7.30,13,11.50,13,2,0,2025-08-15,0.93681,0.38224,0.00759,-0.04619,0.20452,0.10222
BLSH260320P00115000,BLSH,2026-03-20,115.00,put,54.03,54.00,52.00,9,56.00,8,3,0,2025-08-15,1.03437,-0.57913,0.00705,-0.03880,0.20969,-0.56016
BLSH260320C00120000,BLSH,2026-03-20,120.00,call,8.61,8.85,6.70,8,11.00,11,3,0,2025-08-15,0.93681,0.35998,0.00745,-0.04524,0.20059,0.09726
BLSH260320P00120000,BLSH,2026-03-20,120.00,put,58.44,58.15,56.10,9,60.20,9,9,0,2025-08-15,1.03437,-0.59988,0.00697,-0.03754,0.20717,-0.59328
BLSH260320C00125000,BLSH,2026-03-20,125.00,call,7.80,7.75,7.30,1,8.20,1,21,0,2025-08-15,0.91729,0.33031,0.00737,-0.04288,0.19425,0.09113
BLSH260320P00125000,BLSH,2026-03-20,125.00,put,62.83,62.60,60.50,9,64.70,8,11,0,2025-08-15,1.05388,-0.61167,0.00678,-0.03742,0.20547,-0.62542
BLSH260320C00130000,BLSH,2026-03-20,130.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.27341,0.00307,0.00064,-0.00034,0.00501,0.00119
BLSH260320P00130000,BLSH,2026-03-20,130.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01503,0.00000,-0.75323
BLSH260320C00135000,BLSH,2026-03-20,135.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.27341,0.00175,0.00038,-0.00020,0.00302,0.00068
BLSH260320P00135000,BLSH,2026-03-20,135.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01561,0.00000,-0.78221
BLSH260320C00140000,BLSH,2026-03-20,140.00,call,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.29292,0.00204,0.00041,-0.00025,0.00347,0.00079
BLSH260320P00140000,BLSH,2026-03-20,140.00,put,0.00,0.01,0.00,0,0.00,0,0,0,2025-08-15,0.01976,-1.00000,0.00000,0.01619,0.00000,-0.81118
